ID	GLOSS	FREQUENCY
1600	SKIRT	543
1657	TRUE	543
1594	FLOUR	542
729	DAWN	541
1262	BROTHER	540
256	FOOD	538
1270	WHY	538
168	REST	537
1307	LANGUAGE	537
12	MIDDAY	536
193	SHALLOW	535
1607	HATE	535
727	WHICH	534
702	CATCH	533
1096	SONG	532
1268	YES	532
1602	WAKE UP	531
148	ITCH	531
1629	EVENING	529
769	ROOF	529
499	CURE	529
1649	SIT DOWN	529
724	READ	528
307	HAWK	528
1444	TURN AROUND	527
355	CUT DOWN	527
1905	EAGLE	526
352	UNTIE	525
822	HOW MANY	524
1175	GHOST	523
692	BRING	523
725	OLD PERSON	522
1123	PREGNANT	522
1264	CHANGE	522
1711	TELL	521
1426	EXPENSIVE	521
21	TASTE (SOMETHING)	520
1753	TOP	520
1159	FART	519
1084	CALL	519
1370	MONTH	518
924	VEGETABLES	518
1768	FOAM	518
2139	MUROID (MOUSE OR RAT)	517
1088	SINK (DESCEND)	516
811	SOUL	515
411	GOURD	515
679	BRIGHT	514
1304	CHILD (YOUNG HUMAN)	513
125	SWEAT (SUBSTANCE)	513
1672	WRITE	513
498	CALF OF LEG	513
1359	SEPARATE	513
480	PLATE	513
1709	FIFTEEN	512
1864	HUNGER	511
1887	CHEAP	510
1044	PILLOW	509
1843	THOUSAND	509
1107	GO OUT	509
1574	FLOAT	509
1039	SHOW	509
124	THORN	508
648	PAPER	507
251	SHARPEN (SOMETHING)	507
1460	IN	507
1678	HUT	507
919	CHILI PEPPER	506
1085	FOLLOW	506
2575	DO OR MAKE	505
1807	AFTERNOON	505
928	EMBRACE	505
767	CORPSE	504
141	BURN (SOMETHING)	504
759	SILVER	503
862	SUGAR	503
1823	BORROW	503
269	COOKED	502
2642	HE OR SHE	502
2106	MALE PERSON	500
1300	COUNTRY	500
1289	BABY	499
1232	WARM	498
2006	FILL	498
1364	HEALTHY	495
1484	OIL (ORGANIC SUBSTANCE)	494
718	PAY	494
793	BOIL (OF SKIN)	494
1464	LADDER	493
1862	DONKEY	491
728	FIRST	490
578	KISS	490
214	STRETCH	489
626	LAND	489
354	POUND	488
617	ICE	487
1385	PEPPER	487
2133	STRIKE OR BEAT	486
76	YOUNG MAN	486
1390	WRONG	486
1973	DEMON	486
212	FIELD	485
372	POINTED	482
1075	TRAP (PITFALL)	481
127	EXTINGUISH	477
43	LEAD (GUIDE)	476
1139	LEOPARD	476
1074	FISHHOOK	476
3626	KNOW	475
185	FIREPLACE	474
265	FOWL	473
1529	LAST (FINAL)	473
1622	SHIRT	472
1025	WHISTLE	472
1135	KICK	471
1808	PUS	471
1241	SOME	470
1113	WRAP	470
2279	NO OR NOT	470
2691	PATERNAL AUNT (FATHER'S SISTER)	469
1445	TURN (SOMETHING)	468
622	ISLAND	468
11	DARKNESS	468
1685	AFTER	467
1312	FOX	466
2458	PERSPIRE OR SWEAT	466
3653	COOKING POT	466
925	CASSAVA	466
2113	OLD (USED)	465
1064	SHIELD	465
892	TIME	465
208	NASAL MUCUS (SNOT)	465
1820	BEAR	464
38	SPREAD OUT	464
93	DRAW MILK	464
788	SOAP	463
1160	THIEF	463
344	TREE TRUNK	463
1476	CHAIR	462
785	STRONG	462
2374	DREAM	461
224	MORTAR	461
614	HILL	461
1136	RABBIT	460
1374	RING	458
1375	WINDOW	458
