ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name,Family,Concept_Count,Form_Count,Contribution_ID,Family_Name
1564,Pintupi-Luritja,Australia,-23.2963,130.643,pint1250,piu,Pintupi-Luritja,pama1250,273,273,bowernpny,Pama-Nyungan
1565,Yalarnnga,Australia,-21.731,139.511,yala1262,ylr,Yalarnnga,pama1250,272,272,bowernpny,Pama-Nyungan
1566,Southern Ute,North America,38.0,-109.0,utee1244,,Ute,utoa1244,284,284,huntergatherer,Uto-Aztecan
1567,Yuki,North America,39.8389,-123.296,yuki1243,yuk,Northern Yukian,yuki1242,281,281,huntergatherer,Yuki-Wappo
1568,Huave,North America,16.2129,-95.0077,sanm1287,huv,San Mateo del Mar Huave,huav1256,272,272,johanssonsoundsymbolic,Huavean
1569,Hupdë,South America,0.58622,-69.8359,hupd1244,jup,Hup,nada1235,272,272,johanssonsoundsymbolic,Naduhup
1570,Kaingang,South America,-27.7671,-52.5394,kain1272,kgp,Kaingang,nucl1710,272,272,johanssonsoundsymbolic,Nuclear-Macro-Je
1571,Sahu,Papunesia,1.00742,127.493,sahu1245,saj,Sahu,nort2923,272,272,johanssonsoundsymbolic,North Halmahera
1572,Southeast Ijo,Africa,4.44235,6.32192,sout2774,ijs,Southeast Ijo,ijoi1239,272,272,johanssonsoundsymbolic,Ijoid
1573,Tarifit,Africa,34.916974,-3.430616,tari1263,rif,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,afro1255,272,272,johanssonsoundsymbolic,Afro-Asiatic
1574,Pubarong Queyu,Eurasia,30.222522,100.778441,quey1238,qvy,Queyu,sino1245,275,275,lairgyalrong,Sino-Tibetan
1575,Anjam,Papunesia,-5.45899,145.717,anja1238,boj,Anjam,nucl1709,308,308,transnewguineaorg,Nuclear Trans New Guinea
1576,Musak,Papunesia,-5.37407,145.197,musa1266,mmq,Aisi,nucl1709,311,311,transnewguineaorg,Nuclear Trans New Guinea
1577,Musar,Papunesia,-4.70258,145.413,musa1265,mmi,Hember Avu,nucl1709,307,307,transnewguineaorg,Nuclear Trans New Guinea
1578,Uyajitaya,Papunesia,-5.43119,145.642,dudu1240,duk,Duduela,nucl1709,314,314,transnewguineaorg,Nuclear Trans New Guinea
1579,Biri,Australia,-20.1494,146.67,biri1256,bzr,Biri,pama1250,273,273,bowernpny,Pama-Nyungan
1580,Bunoge,Africa,14.65,-3.79,buno1241,dgb,Bunoge Dogon,dogo1299,271,271,hantganbangime,Dogon
1581,Northern Paiute,North America,40.0799,-119.536,nort2954,pao,Northern Paiute,utoa1244,282,282,huntergatherer,Uto-Aztecan
1582,Washo,North America,38.8184,-119.64,wash1253,was,Washo,wash1253,281,281,huntergatherer,Washo
1583,Bardi,Australia,-16.6274,122.906,bard1255,bcj,Bardi,nyul1248,283,283,huntergatherer,Nyulnyulan
1584,Sáliva,South America,5.30115,-69.3843,sali1298,slc,Sáliba,sali1297,271,271,huntergatherer,Saliban
1585,Achumawi,North America,41.0979,-121.191,achu1247,acv,Achumawi,pala1350,271,271,johanssonsoundsymbolic,Palaihnihan
1586,Atakapa,North America,30.9121,-93.0827,atak1252,aqp,Atakapa,atak1252,271,271,johanssonsoundsymbolic,Atakapa
1587,Chipaya,South America,-18.73951,-67.89633,chip1262,cap,Chipaya,uruc1242,271,271,johanssonsoundsymbolic,Uru-Chipaya
1588,Muinane,South America,-0.8652,-72.4249,muin1242,bmr,Muinane,bora1262,271,271,johanssonsoundsymbolic,Boran
1589,Tangut,Eurasia,38.477453,106.285383,tang1334,txg,Tangut,sino1245,312,312,lairgyalrong,Sino-Tibetan
1590,Male,Papunesia,-5.49975,145.757,male1291,mdc,Male (Papua New Guinea),nucl1709,291,291,transnewguineaorg,Nuclear Trans New Guinea
1591,Utarmbung,Papunesia,-4.82756,144.924,utar1238,omo,Utarmbung,nucl1709,302,302,transnewguineaorg,Nuclear Trans New Guinea
1592,Waskia,Papunesia,-4.57978,145.979,wask1241,wsk,Waskia,nucl1709,319,319,transnewguineaorg,Nuclear Trans New Guinea
1593,Dharuk,Australia,-33.52925837,150.3490464,sydn1236,xdk,Sydney,pama1250,271,271,bowernpny,Pama-Nyungan
1594,Kawaiisu,North America,36.0538,-118.679,kawa1283,xaw,Kawaiisu,utoa1244,276,276,huntergatherer,Uto-Aztecan
1595,Urarina,South America,-4.44006,-75.4211,urar1246,ura,Urarina,urar1246,270,270,huntergatherer,Urarina
1596,Bankan Tey Dogon,Africa,15.06,-2.92,bank1259,dbw,Bankan Tey Dogon,dogo1299,270,270,johanssonsoundsymbolic,Dogon
1597,Klamath,North America,42.5861,-121.704,klam1254,kla,Klamath-Modoc,klam1254,270,270,johanssonsoundsymbolic,Klamath-Modoc
1598,Ngmüün,Eurasia,20.289,94.3929,munc1235,mwq,Mün Chin,sino1245,271,271,sohartmannchin,Sino-Tibetan
1599,Amaimon,Papunesia,-5.18742,145.368,amai1246,ali,Amaimon,nucl1709,302,302,transnewguineaorg,Nuclear Trans New Guinea
1600,Asas,Papunesia,-5.69345,145.549,asas1240,asd,Asas,nucl1709,299,299,transnewguineaorg,Nuclear Trans New Guinea
1601,Jilim,Papunesia,-5.56611,145.706,jili1241,jil,Sgi Bara,nucl1709,296,296,transnewguineaorg,Nuclear Trans New Guinea
1602,Malas,Papunesia,-4.76685,145.621,mala1495,mkr,Manep,nucl1709,293,293,transnewguineaorg,Nuclear Trans New Guinea
1603,Mawak,Papunesia,-4.61817,145.283,mawa1266,mjj,Mawak,nucl1709,308,308,transnewguineaorg,Nuclear Trans New Guinea
1604,Paynamar,Papunesia,-4.94303,144.879,payn1244,pmr,Manat,nucl1709,301,301,transnewguineaorg,Nuclear Trans New Guinea
1605,Wanambre,Papunesia,-4.78822,145.419,wana1269,wnb,Mokati,nucl1709,309,309,transnewguineaorg,Nuclear Trans New Guinea
1606,Apiaka,South America,-7.84711,-57.91,apia1248,api,Apiaká,tupi1275,284,284,tuled,Tupian
1607,faita,Papunesia,-5.59947,145.298,fait1240,faj,Kulsab,nucl1709,297,297,zgraggenmadang,Nuclear Trans New Guinea
1608,Gumatj,Australia,-12.25254,136.83042,guma1253,gnn,Gumatj,pama1250,270,270,bowernpny,Pama-Nyungan
1609,Guugu-Yimidhirr,Australia,-14.9424,144.831,gugu1255,kky,Guugu Yimidhirr,pama1250,270,270,bowernpny,Pama-Nyungan
1610,Kowaki,Papunesia,-4.63032,145.412,kowa1245,xow,Kowaki,nucl1709,290,290,transnewguineaorg,Nuclear Trans New Guinea
1611,Dhangu,Australia,-11.9493,135.752,dhan1270,dhg,Dhangu,pama1250,269,269,bowernpny,Pama-Nyungan
1612,Cupeño,North America,33.3148,-116.515,cupe1243,cup,Cupeño,utoa1244,275,275,huntergatherer,Uto-Aztecan
1613,Cahuilla,North America,33.5324,-116.691,cahu1264,chl,Cahuilla,utoa1244,275,275,huntergatherer,Uto-Aztecan
1614,Serrano,North America,33.9479,-116.772,serr1255,ser,Serrano,utoa1244,278,278,huntergatherer,Uto-Aztecan
1615,Kiliwa,North America,30.5471,-115.123,kili1268,klb,Kiliwa,coch1271,277,277,huntergatherer,Cochimi-Yuman
1616,Chumash Ventureno,North America,34.1761,-119.035,vent1242,veo,Ventureño,chum1262,277,277,huntergatherer,Chumashan
1617,Tariana,South America,0.440205,-68.9042,tari1256,tae,Tariana,araw1281,269,269,huntergatherer,Arawakan
1618,Warekena ,South America,1.80835,-66.922505,guar1293,gae,Baniva de Maroa,araw1281,268,268,huntergatherer,Arawakan
1619,Pawnee,North America,36.2862,-96.8937,pawn1254,paw,Pawnee,cadd1255,268,268,johanssonsoundsymbolic,Caddoan
1620,Quileute,North America,47.9106,-124.603,quil1240,qui,Quileute,chim1311,268,268,johanssonsoundsymbolic,Chimakuan
1621,Terei,Papunesia,-6.70051,155.745,tere1278,buo,Terei,sout2948,268,268,johanssonsoundsymbolic,South Bougainville
1622,Zuni,North America,35.0056,-108.782,zuni1245,zun,Zuni,zuni1245,268,268,johanssonsoundsymbolic,Zuni
1623,Pal,Papunesia,-4.756,145.24,pall1244,abw,Pal,nucl1709,290,290,transnewguineaorg,Nuclear Trans New Guinea
1624,Warlmanpa,Australia,-18.949,133.862,warl1255,wrl,Warlmanpa,pama1250,268,268,bowernpny,Pama-Nyungan
1625,Buduma,Africa,13.0692,14.4492,budu1265,bdm,Buduma,afro1255,271,271,gravinachadic,Afro-Asiatic
1626,Copainalá Zoque,North America,17.2157,-93.3183,copa1236,zoc,Central-South Chiapas Zoque,mixe1284,267,267,johanssonsoundsymbolic,Mixe-Zoque
1627,Grass Koiari,Papunesia,-9.51218,147.437,gras1249,kbk,Grass Koiari,koia1260,267,267,johanssonsoundsymbolic,Koiarian
1628,Yupua,South America,-0.5,-70.0,jupu1235,,Yupua,tuca1253,320,320,kochtukanoan,Tucanoan
1629,Nyhmoye,Eurasia,20.0776,94.0506,chin1478,cnb,Chinbon Chin,sino1245,268,268,sohartmannchin,Sino-Tibetan
1630,Yegha (Korafe Dialect),Papunesia,-9.07,149.267,kora1294,kpr,Korafe-Yegha,nucl1709,383,383,transnewguineaorg,Nuclear Trans New Guinea
1631,Parawen,Papunesia,-5.0112,145.418,para1307,prw,Parawen,nucl1709,310,310,transnewguineaorg,Nuclear Trans New Guinea
1632,Tauya,Papunesia,-5.74255,145.366,tauy1241,tya,Tauya,nucl1709,301,301,transnewguineaorg,Nuclear Trans New Guinea
1633,Yukpa,South America,9.67534,-73.0557,yukp1241,yup,Yukpa,cari1283,337,337,hubercolumbian,Cariban
1634,Plains Miwok,North America,38.39772,-121.653344,plai1259,pmw,Plains Miwok,miwo1274,271,271,huntergatherer,Miwok-Costanoan
1635,Secoya,South America,-0.459785,-75.5547,seco1241,sey,Secoya,tuca1253,266,266,huntergatherer,Tucanoan
1636,Gurindji,Australia,-17.0329,130.379,guri1247,gue,Gurindji,pama1250,270,270,huntergatherer,Pama-Nyungan
1637,Ngarluma,Australia,-20.9235,117.203,ngar1287,nrl,Ngarluma,pama1250,266,266,johanssonsoundsymbolic,Pama-Nyungan
1638,Panoan Katukína,South America,-7.97456,-71.56151,pano1254,knt,Panoan Katukína,pano1259,266,266,johanssonsoundsymbolic,Pano-Tacanan
1639,Biyom,Papunesia,-5.79929,145.348,biyo1244,bpm,Biyom,nucl1709,285,285,transnewguineaorg,Nuclear Trans New Guinea
1640,Pamosu,Papunesia,-4.69874,145.288,pamo1253,hih,Pamosu,nucl1709,293,293,transnewguineaorg,Nuclear Trans New Guinea
1641,Sam,Papunesia,-5.55572,145.813,samm1244,snx,Sam,nucl1709,291,291,transnewguineaorg,Nuclear Trans New Guinea
1642,Wadaginam,Papunesia,-4.52754,144.972,wada1263,wdg,Wadaginam,nucl1709,289,289,transnewguineaorg,Nuclear Trans New Guinea
1643,Asuriní Xingu,South America,-4.13463,-52.321,xing1248,asn,Xingú Asuriní,tupi1275,289,289,tuled,Tupian
1644,Kariyarra,Australia,-20.445,118.613,kari1304,vka,Kariyarra,pama1250,266,266,bowernpny,Pama-Nyungan
1645,Ngarla,Australia,-20.20748,119.30579,ngar1296,nrk,Ngarla,pama1250,266,266,bowernpny,Pama-Nyungan
1646,Wangkayutyuru,Australia,-24.7022,137.433,wang1289,wnm,Wanggamala,pama1250,267,267,bowernpny,Pama-Nyungan
1647,Amarakaeri,South America,-12.4931,-70.5533,amar1274,amr,Amarakaeri,hara1260,265,265,johanssonsoundsymbolic,Harakmbut
1648,Jamamadí,South America,-7.62223,-66.5662,jama1261,jaa,Madi,araw1282,265,265,johanssonsoundsymbolic,Arawan
1649,Wappo,North America,38.25,-122.5,wapp1239,wao,Wappo,yuki1242,265,265,johanssonsoundsymbolic,Yuki-Wappo
1650,Xicotepec de Juárez Totonac,North America,20.6532,-97.7463,xico1235,too,Xicotepec De Juárez Totonac,toto1251,265,265,johanssonsoundsymbolic,Totonacan
1651,Yuwana,South America,5.63879,-65.4267,yuwa1244,yau,Hoti,yuwa1244,265,265,johanssonsoundsymbolic,Hoti
1652,Geshiza,,31.028655,101.648464,horp1240,,Horpa,sino1245,291,291,lairgyalrong,Sino-Tibetan
1653,Kalam,Papunesia,-5.25216,144.585,kala1397,kmh,Kalam,nucl1709,366,366,transnewguineaorg,Nuclear Trans New Guinea
1654,Watiwa,Papunesia,-5.82002,145.655,dump1243,wtf,Dumpu,nucl1709,294,294,transnewguineaorg,Nuclear Trans New Guinea
1655,Ngaiawang,Australia,-34.6,140.5,lowe1402,,Lower Riverland,pama1250,265,265,bowernpny,Pama-Nyungan
1656,Warluwarra,Australia,-22.2909,138.738,warl1256,wrb,Warluwara,pama1250,265,265,bowernpny,Pama-Nyungan
1657,Songhai_Senni,Africa,15.28,-1.7,humb1243,hmb,Humburi Senni Songhay,song1307,264,264,hantganbangime,Songhay
1658,Candoshi-Shapra,South America,-4.23835,-76.9347,cand1248,cbu,Candoshi-Shapra,cand1248,264,264,huntergatherer,Candoshi-Shapra
1659,Adyghe,Eurasia,44.0,39.33,adyg1241,ady,West Circassian,abkh1242,264,264,johanssonsoundsymbolic,Abkhaz-Adyge
1660,Natchez,North America,31.75,-91.33,natc1249,ncz,Natchez,natc1249,264,264,johanssonsoundsymbolic,Natchez
1661,North Alaskan Inupiatun,North America,69.582,-143.77,nort2943,esi,North Alaskan Inupiatun,eski1264,264,264,johanssonsoundsymbolic,Eskimo-Aleut
1662,Sanapaná (Angaité),South America,-22.11454,-58.90698,anga1316,aqt,Angaité,leng1261,264,264,johanssonsoundsymbolic,Lengua-Mascoy
1663,Warao,South America,7.50851,-59.3528,wara1303,wba,Warao,wara1303,264,264,johanssonsoundsymbolic,Warao
1664,Yareba,Papunesia,-9.50651,148.605,yare1248,yrb,Yareba,yare1250,264,264,johanssonsoundsymbolic,Yareban
1665,Najkhin Nanai,Eurasia,48.43426,134.79726,nana1257,gld,Nanai,tung1282,305,305,oskolskayatungusic,Tungusic
1666,Orok,Eurasia,49.36393,143.12819,orok1265,oaa,Orok,tung1282,347,347,oskolskayatungusic,Tungusic
1667,Oroqen,Eurasia,50.6319,125.017,oroq1238,orh,Oroqen,tung1282,277,277,oskolskayatungusic,Tungusic
1668,Solon,Eurasia,48.166,119.4873,solo1263,,Solon,tung1282,297,297,oskolskayatungusic,Tungusic
1669,Udihe,Eurasia,46.63086,135.67762,udih1248,ude,Udihe,tung1282,301,301,oskolskayatungusic,Tungusic
1670,Ulch,Eurasia,51.85209,140.29045,ulch1241,ulc,Ulch,tung1282,371,371,oskolskayatungusic,Tungusic
1671,Xibe,Eurasia,43.5854,81.0034,xibe1242,sjo,Xibe,tung1282,285,285,oskolskayatungusic,Tungusic
1672,Suena,Papunesia,-7.76339,147.534,suen1241,sue,Suena,nucl1709,377,377,transnewguineaorg,Nuclear Trans New Guinea
1673,Chácobo,South America,-12.133,-66.7164,chac1251,cao,Chácobo,pano1259,263,263,huntergatherer,Pano-Tacanan
1674,Arabela,South America,-1.96126,-75.0612,arab1268,arl,Arabela,zapa1251,263,263,johanssonsoundsymbolic,Zaparoan
1675,Highland Oaxaca Chontal,North America,16.1849,-95.7301,high1242,chd,Highland Oaxaca Chontal,tequ1244,263,263,johanssonsoundsymbolic,Tequistlatecan
1676,Mailu,Papunesia,-10.3657,149.521,mail1248,mgu,Mailu,mail1249,263,263,johanssonsoundsymbolic,Mailuan
1677,Even,Eurasia,70.6687,130.914,even1260,eve,Even,tung1282,402,402,oskolskayatungusic,Tungusic
1678,Manchu,Eurasia,47.31225,126.55713,manc1252,mnc,Manchu,tung1282,320,320,oskolskayatungusic,Tungusic
1679,Bikin Nanai,Eurasia,48.43426,134.79726,nana1257,gld,Nanai,tung1282,408,408,oskolskayatungusic,Tungusic
1680,Oroch,Eurasia,50.32354,137.85131,oroc1248,oac,Oroch,tung1282,295,295,oskolskayatungusic,Tungusic
1681,Bashkir,Eurasia,53.6,56.56,bash1264,bak,Bashkir,turk1311,294,294,robbeetstriangulation,Turkic
1682,Buriat,Eurasia,48.77,109,buri1258,bua,Buriat,mong1349,319,319,robbeetstriangulation,Mongolic
1683,Gyeonggi,Eurasia,37.5,128,seou1239,,Seoul,kore1284,264,264,robbeetstriangulation,Koreanic
1684,Hwanghae,Eurasia,38.59,126.33,hwan1238,,Hwanghaedo,kore1284,265,265,robbeetstriangulation,Koreanic
1685,Nanai (Bikin),Eurasia,45.2,134.4,nana1257,gld,Nanai,tung1282,304,304,robbeetstriangulation,Tungusic
1686,Northern Hamgyong,Eurasia,41.47,129.46,hamg1238,,Hamgyongdo,kore1284,264,264,robbeetstriangulation,Koreanic
1687,Northern Pyongan,Eurasia,40.06,124.24,pyon1239,,P'yong'ando,kore1284,264,264,robbeetstriangulation,Koreanic
1688,Southern Hamgyong,Eurasia,39.55,127.32,hamg1238,,Hamgyongdo,kore1284,264,264,robbeetstriangulation,Koreanic
1689,Southern Pyongan,Eurasia,39.15,125.51,pyon1239,,P'yong'ando,kore1284,264,264,robbeetstriangulation,Koreanic
1690,Ulcha,,51.85,140.29,ulch1242,,Ulchaic,tung1282,305,305,robbeetstriangulation,Tungusic
1691,Moere,Papunesia,-4.62246,145.458,moer1240,mvq,Moere,nucl1709,278,278,transnewguineaorg,Nuclear Trans New Guinea
1692,kesawai,Papunesia,-5.76797,145.58,kesa1244,xes,Kesawai,nucl1709,292,292,zgraggenmadang,Nuclear Trans New Guinea
1693,Yidiny,Australia,-17.1332,145.876,yidi1250,yii,Yidiñ,pama1250,262,262,bowernpny,Pama-Nyungan
1694,Totoró,South America,2.55149,-76.6379,toto1306,ttk,Totoro,barb1265,274,274,hubercolumbian,Barbacoan
1695,Chumash Barbareno,North America,34.462,-119.699,barb1263,boi,Barbareño,chum1262,268,268,huntergatherer,Chumashan
1696,Southern Pastaza Quechua,South America,-3.32733,-76.527,sout2990,qup,Southern Pastaza Quechua,quec1387,262,262,huntergatherer,Quechuan
1697,Bangime,Africa,14.8116,-3.77092,bang1363,dba,Bangime,bang1363,262,262,johanssonsoundsymbolic,Bangime
1698,Berik,Papunesia,-2.26904,138.866,beri1254,bkl,Berik,toro1256,262,262,johanssonsoundsymbolic,Tor-Orya
1699,Kwaza,South America,-11.6667,-61.1833,kwaz1243,xwa,Kwaza,kwaz1243,262,262,johanssonsoundsymbolic,Kwaza
1700,Ngarinyin,Australia,-16.4006,126.433,ngar1284,ung,Ngarinyin,worr1236,262,262,johanssonsoundsymbolic,Worrorran
1701,Rumu,Papunesia,-7.17149,144.179,rumu1243,klq,Rumu,tura1263,262,262,johanssonsoundsymbolic,Turama-Kikori
1702,Tunica,North America,30.9888,-92.5403,tuni1252,tun,Tunica,tuni1252,262,262,johanssonsoundsymbolic,Tunica
1703,Negidal,Eurasia,52.96584,139.20575,negi1245,neg,Negidal,tung1282,463,463,oskolskayatungusic,Tungusic
1704,Even,Eurasia,70.67,130.91,even1260,eve,Even,tung1282,306,306,robbeetstriangulation,Tungusic
1705,Kalmyck,Eurasia,46.21,48.03,kalm1244,,Kalmyk,mong1349,306,306,robbeetstriangulation,Mongolic
1706,Khalkha,Eurasia,48.32,106.29,halh1238,khk,Halh Mongolian,mong1349,314,314,robbeetstriangulation,Mongolic
1707,Nanai (Middle Amur),Eurasia,50.34,137,nana1257,gld,Nanai,tung1282,277,277,robbeetstriangulation,Tungusic
1708,Northern Chungcheong,Eurasia,36.45,127.45,chun1247,,Ch'ungch'ongdo,kore1284,263,263,robbeetstriangulation,Koreanic
1709,Northern Gyeongsang,Eurasia,36.33,128.43,kyon1247,,Kyongsangdo,kore1284,263,263,robbeetstriangulation,Koreanic
1710,Northern Jeolla,Eurasia,35.49,127.09,chol1278,,Jollado,kore1284,262,262,robbeetstriangulation,Koreanic
1711,Oroch,Eurasia,49.36,143.13,oroc1248,oac,Oroch,tung1282,280,280,robbeetstriangulation,Tungusic
1712,Southern Chungcheong,Eurasia,36.35,126.39,chun1247,,Ch'ungch'ongdo,kore1284,263,263,robbeetstriangulation,Koreanic
1713,Southern Gyeongsang,Eurasia,35.15,128.15,kyon1247,,Kyongsangdo,kore1284,263,263,robbeetstriangulation,Koreanic
1714,Southern Jeolla,Eurasia,34.98,126.47,chol1278,,Jollado,kore1284,263,263,robbeetstriangulation,Koreanic
1715,Turkish,Eurasia,39.87,32.87,nucl1301,tur,Turkish,turk1311,288,288,robbeetstriangulation,Turkic
1716,Udihe,Eurasia,46.63,135.68,udih1248,ude,Udihe,tung1282,282,282,robbeetstriangulation,Tungusic
1717,Karaim,Eurasia,54.5534,25.1054,kara1464,kdr,Karaim,turk1311,300,300,savelyevturkic,Turkic
1718,Nogai,Eurasia,43.5917,46.6618,noga1249,nog,Nogai,turk1311,302,302,savelyevturkic,Turkic
1719,Tupí Austral,South America,-23.95,-46.38,tupi1274,tpw,Lingua Geral Paulista,tupi1275,325,325,tuled,Tupian
1720,Great Andamanese,Eurasia,11.67,92.74,mixe1288,gac,Mixed Great Andamanese,grea1241,261,261,johanssonsoundsymbolic,Great Andamanese
1721,Gyeonggi,Eurasia,37.54,126.98,seou1239,,Seoul,kore1284,265,265,leekoreanic,Koreanic
1722,Kur-Urmì,Eurasia,48.806,134.121,kuro1242,,Kur-Urmi,tung1282,315,315,oskolskayatungusic,Tungusic
1723,Amami Asama,Eurasia,27.49,128.55,toku1246,tkn,Toku-No-Shima,japo1237,263,263,robbeetstriangulation,Japonic
1724,Amami Yamatohama,Eurasia,28.19,129.21,sout2954,ams,Southern Amami-Oshima,japo1237,263,263,robbeetstriangulation,Japonic
1725,Azeri,Eurasia,40.98,46.47,nort2697,azj,North Azerbaijani,turk1311,289,289,robbeetstriangulation,Turkic
1726,Jeju,Eurasia,33.38,126.56,jeju1234,jje,Jejueo,kore1284,261,261,robbeetstriangulation,Koreanic
1727,Karaim,Eurasia,43.56,42.26,kara1464,kdr,Karaim,turk1311,303,303,robbeetstriangulation,Turkic
1728,KazanTatar,Eurasia,55,50,kaza1250,,Kazan Tatar,turk1311,294,294,robbeetstriangulation,Turkic
1729,Khakas,Eurasia,50.74,107.17,khak1248,kjh,Khakas,turk1311,292,292,robbeetstriangulation,Turkic
1730,Kirghiz,Eurasia,42,74,kirg1245,kir,Kirghiz,turk1311,304,304,robbeetstriangulation,Turkic
1731,Nogai,Eurasia,43.59,46.66,noga1249,nog,Nogai,turk1311,299,299,robbeetstriangulation,Turkic
1732,Shira-Yughur,Eurasia,37.99,101.76,east2337,yuy,East Yugur,mong1349,300,300,robbeetstriangulation,Mongolic
1733,Stony Evenki (PT = Podkamennaya Tunguska),Eurasia,61.59,94.39,hiss1234,,Hissing Evenki,tung1282,285,285,robbeetstriangulation,Tungusic
1734,Xeta,South America,-24.9408,-52.2266,xeta1241,xet,Xetá,tupi1275,321,321,tuled,Tupian
1735,Kukatj,Australia,-17.8372,141.168,guga1239,ggd,Gugadj,pama1250,261,261,bowernpny,Pama-Nyungan
1736,Tübatulabal,North America,35.327,-117.163,tuba1278,tub,Tübatulabal,utoa1244,269,269,huntergatherer,Uto-Aztecan
1737,Salinan A,North America,37.6646,-121.718,sali1253,sln,Salinan,sali1253,267,267,huntergatherer,Salinan
1738,Berta,Africa,10.6474,34.7042,bert1248,wti,Berta,bert1248,260,260,johanssonsoundsymbolic,Berta
1739,Oneida,North America,43.438742,-75.708106,onei1249,one,Oneida,iroq1247,260,260,johanssonsoundsymbolic,Iroquoian
1740,Dagur,Eurasia,48,124,daur1238,dta,Dagur,mong1349,309,309,robbeetstriangulation,Mongolic
1741,Huzhu,Eurasia,36.51,102.06,huzh1238,mjg,Mongghul,mong1349,315,315,robbeetstriangulation,Mongolic
1742,Kumyk,Eurasia,43,47,kumy1244,kum,Kumyk,turk1311,283,283,robbeetstriangulation,Turkic
1743,Kur-Urmi,Eurasia,48.29,135.05,kuro1242,,Kur-Urmi,tung1282,285,285,robbeetstriangulation,Tungusic
1744,(Late) Middle Korean,Eurasia,37.5,128,late1258,,Late Middle Korean,kore1284,275,275,robbeetstriangulation,Koreanic
1745,Manchu,Eurasia,47.31,126.56,manc1252,mnc,Manchu,tung1282,292,292,robbeetstriangulation,Tungusic
1746,Solon,Eurasia,48.17,119.49,solo1263,,Solon,tung1282,278,278,robbeetstriangulation,Tungusic
1747,Turkmen,Eurasia,37.09,59.18,turk1304,tuk,Turkmen,turk1311,294,294,robbeetstriangulation,Turkic
1748,Uyghur,Eurasia,43.88,87.38,uigh1240,uig,Uighur,turk1311,322,322,robbeetstriangulation,Turkic
1749,Yaeyama Hatoma,Eurasia,24.17,123.51,hato1238,,Hatoma,japo1237,269,269,robbeetstriangulation,Japonic
1750,Yonaguni,Eurasia,24.28,123,yona1241,yoi,Yonaguni,japo1237,262,262,robbeetstriangulation,Japonic
1751,Arandai (Weriagar Dialect),Papunesia,-2.08016,132.983,aran1237,jbj,Dombano,sout1516,285,285,transnewguineaorg,South Bird's Head Family
1752,"Awyu, South (Syiagha Dialect)",Papunesia,-7.36301,139.538,sout2941,aws,South Awyu,nucl1709,392,392,transnewguineaorg,Nuclear Trans New Guinea
1753,Duungidjawu,Australia,-25.3987,152.345,duun1241,,Duungidjawu,pama1250,260,260,bowernpny,Pama-Nyungan
1754,Kuku Yalanji,Australia,-16.0036,145.188,kuku1273,gvn,Kuku-Yalanji,pama1250,260,260,bowernpny,Pama-Nyungan
1755,Wardandi,Australia,-33.92109,115.26929,ward1248,wxw,Wardandi,pama1250,260,260,bowernpny,Pama-Nyungan
1756,Yavapai,North America,35.6302,-113.385,hava1248,yuf,Havasupai-Walapai-Yavapai,coch1271,269,269,huntergatherer,Cochimi-Yuman
1757,Central Aymara,South America,-17.0,-68.5,cent2142,ayr,Central Aymara,ayma1253,259,259,huntergatherer,Aymaran
1758,Ese Ejja/Huarayo,South America,-11.7268,-67.515,esee1248,ese,Ese Ejja,pano1259,259,259,huntergatherer,Pano-Tacanan
1759,Djingili,Australia,-17.165,133.659,djin1251,jig,Jingulu,mirn1241,259,259,johanssonsoundsymbolic,Mirndi
1760,Ninam,South America,4.03894,-62.7801,nina1238,shb,Ninam,yano1268,259,259,johanssonsoundsymbolic,Yanomamic
1761,Koretu,South America,-1.045978,-70.305862,cure1236,,Kueretu,tuca1253,278,278,kochtukanoan,Tucanoan
1762,Hani,Eurasia,22.67753,102.851673333,hani1248,hni,Hani,sino1245,259,259,lamanisoic,Sino-Tibetan
1763,Lahu,Eurasia,21.2701,100.214,lahu1253,lhu,Lahu,sino1245,259,259,lamanisoic,Sino-Tibetan
1764,Lisu,Eurasia,26.91,98.94,lisu1250,lis,Lisu,sino1245,259,259,lamanisoic,Sino-Tibetan
1765,Lolopo,Eurasia,25.50051,101.30185,lolo1259,ycl,Lolopo,sino1245,259,259,lamanisoic,Sino-Tibetan
1766,Nasu,Eurasia,25.48,102.48,wudi1238,ywq,Wuding-Luquan Yi,sino1245,259,259,lamanisoic,Sino-Tibetan
1767,Nuosu,Eurasia,28.1947,102.121,sich1238,iii,Sichuan Yi,sino1245,259,259,lamanisoic,Sino-Tibetan
1768,WB,Eurasia,20.7926,93.9665,nucl1310,mya,Burmese,sino1245,259,259,lamanisoic,Sino-Tibetan
1769,Zaiwa,Eurasia,24.1726,98.3643,zaiw1241,atb,Zaiwa,sino1245,259,259,lamanisoic,Sino-Tibetan
1770,Mandén·ga,Africa,12.8165233333,-15.6539466667,mand1436,mnk,Mandinka,mand1469,267,267,polyglottaafricana,Mande
1771,Torón·ka,Africa,12.8165233333,-15.6539466667,mand1436,mnk,Mandinka,mand1469,276,276,polyglottaafricana,Mande
1772,Dṣálun·ka,Africa,9.97186,-11.2836,yalu1240,yal,Yalunka,mand1469,275,275,polyglottaafricana,Mande
1773,Kán·kán·ka,Africa,9.33048,-10.5394,east2426,emk,Eastern Maninkakan,mand1469,260,260,polyglottaafricana,Mande
