ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name,Family,Concept_Count,Form_Count,Contribution_ID,Family_Name
1052,Cuiba,South America,6.19829,-69.8197,cuib1242,cui,Cuiba,guah1252,451,451,hubercolumbian,Guahiboan
1053,Yanomami,South America,2.48999,-62.8522,yano1262,wca,Yanomám,yano1268,320,320,huntergatherer,Yanomamic
1054,Hoava,Papunesia,-8.19679,157.595,hoav1238,hoa,Hoava,aust1307,342,342,tryonsolomon,Austronesian
1055,Kahua,Papunesia,-10.6963,162.191,kahu1241,agw,Kahua,aust1307,330,330,tryonsolomon,Austronesian
1056,Longgu,Papunesia,-9.75258,160.663,long1395,lgu,Longgu,aust1307,336,336,tryonsolomon,Austronesian
1057,Mbilua,Papunesia,-7.92388,156.663,bilu1245,blb,Bilua,bilu1245,350,350,tryonsolomon,Bilua
1058,Nembao,Papunesia,-11.2958,166.498,amba1266,utp,Amba (Solomon Islands),aust1307,328,328,tryonsolomon,Austronesian
1059,Ontong Java,Papunesia,-5.49029,159.701,onto1237,ojv,Luangiua,aust1307,375,375,tryonsolomon,Austronesian
1060,Kamilaroi,Australia,-29.9037,149.543,gami1243,kld,Yuwaalaraay-Gamilaraay,pama1250,317,317,bowernpny,Pama-Nyungan
1061,Kogui,South America,10.9485,-73.8043,cogu1240,kog,Cogui,chib1249,355,355,hubercolumbian,Chibchan
1062,Tucano,South America,0.579755,-69.5763,tuca1252,tuo,Tucano,tuca1253,349,349,hubercolumbian,Tucanoan
1063,Wounaan,South America,8.5,-78.0,woun1238,noa,Woun Meu,choc1280,409,409,hubercolumbian,Chocoan
1064,Yucuna,South America,-0.76075,-71.0033,yucu1253,ycn,Yucuna,araw1281,370,370,hubercolumbian,Arawakan
1065,Anuta,Papunesia,-11.61,169.85,anut1237,aud,Anuta,aust1307,338,338,tryonsolomon,Austronesian
1066,Ghanongga,Papunesia,-8.02035,156.552,ghan1242,ghn,Ghanongga,aust1307,345,345,tryonsolomon,Austronesian
1067,Lokuru,Papunesia,-8.58405,157.296,touo1238,tqu,Touo,touo1238,341,341,tryonsolomon,Touo
1068,Mami,Papunesia,-10.6963,162.191,kahu1241,agw,Kahua,aust1307,323,323,tryonsolomon,Austronesian
1069,Tikopia,Papunesia,-12.2766,168.822,tiko1237,tkp,Tikopia,aust1307,356,356,tryonsolomon,Austronesian
1070,Vano,Papunesia,-11.6107,166.7984,vano1237,vnk,Lovono,aust1307,334,334,tryonsolomon,Austronesian
1071,Djinang,Australia,-12.462,134.82,djin1253,dji,Djinang,pama1250,317,317,bowernpny,Pama-Nyungan
1072,Muruwari,Australia,-28.9618,146.546,muru1266,zmu,Muruwari,pama1250,317,317,bowernpny,Pama-Nyungan
1073,Guayabero,South America,2.8969,-71.844,guay1257,guo,Guayabero,guah1252,401,401,hubercolumbian,Guahiboan
1074,Koreguaje,South America,0.92316,-75.3475,kore1283,coe,Koreguaje,tuca1253,375,375,hubercolumbian,Tucanoan
1075,Ocaina,South America,-2.159,-72.1422,ocai1244,oca,Ocaina,huit1251,315,315,huntergatherer,Huitotoan
1076,Lengo,Papunesia,-9.56425,160.42,leng1259,lgr,Lengo,aust1307,326,326,tryonsolomon,Austronesian
1077,Bondu_So,Africa,14.98,-3.03,bond1252,,Bondum Dom,dogo1299,437,437,baf2,Dogon
